[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:23] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:24] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:25] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:25] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:25] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:25] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
